chr_number,chromosome,total_not_covered,first_15_percent,middle_70_percent,last_15_percent,Method
9,NC_060181.1,5779326,30.3364,43.3781,26.2855,lowinput_P100
10,NC_060182.1,5808934,29.5148,40.5293,29.9559,lowinput_P100
11,NC_060183.1,4617194,32.4541,38.8123,28.7336,lowinput_P100
12,NC_060184.1,4406571,32.839,35.568,31.593,lowinput_P100
13,NC_060185.1,6254293,30.8439,43.3318,25.8243,lowinput_P100
14,NC_060186.1,5439654,32.1959,36.99,30.8141,lowinput_P100
15,NC_060187.1,4106338,29.8518,45.644,24.5042,lowinput_P100
16,NC_060188.1,4973880,27.4067,33.6456,38.9477,lowinput_P100
17,NC_060189.1,2638578,37.7411,44.2817,17.9772,lowinput_P100
18,NC_060190.1,4472118,27.398,34.8392,37.7628,lowinput_P100
19,NC_060191.1,4893212,18.2542,48.5211,33.2246,lowinput_P100
20,NC_060192.1,2797096,9.29707,52.6465,38.0564,lowinput_P100
21,NC_060193.1,3874027,39.6844,40.6914,19.6242,lowinput_P100
22,NC_060194.1,2889172,8.87514,56.2412,34.8837,lowinput_P100
23,NC_060195.1,5242519,25.5401,46.6899,27.77,lowinput_P100
24,NC_060196.1,4125094,23.306,43.586,33.108,lowinput_P100
25,NC_060197.1,3210618,14.3864,48.7399,36.8737,lowinput_P100
26,NC_060198.1,2017820,30.6386,46.516,22.8454,lowinput_P100
27,NC_060199.1,161223,49.911,44.2207,5.86827,lowinput_P100
1,NC_060173.1,8362207,28.9012,41.5528,29.546,normalinput
2,NC_060174.1,7112684,28.3643,33.8022,37.8335,normalinput
3,NC_060175.1,8208877,27.8634,40.9174,31.2192,normalinput
4,NC_060176.1,6409323,26.318,42.7175,30.9645,normalinput
5,NC_060177.1,9405783,35.0331,36.6573,28.3096,normalinput
6,NC_060178.1,7298715,33.6941,45.3622,20.9438,normalinput
7,NC_060179.1,7866918,29.8345,41.2486,28.9169,normalinput
8,NC_060180.1,5598561,26.5598,40.3588,33.0813,normalinput
9,NC_060181.1,9998458,29.3508,46.2795,24.3697,normalinput
10,NC_060182.1,9771657,28.1473,44.4356,27.4172,normalinput
11,NC_060183.1,7636109,31.2968,42.8603,25.8429,normalinput
12,NC_060184.1,7404721,30.218,40.1739,29.608,normalinput
13,NC_060185.1,10758358,27.2318,49.3409,23.4274,normalinput
14,NC_060186.1,8881704,28.3895,42.6912,28.9193,normalinput
15,NC_060187.1,7619104,26.5152,46.5997,26.8851,normalinput
16,NC_060188.1,8119729,27.7412,36.1021,36.1567,normalinput
17,NC_060189.1,4469533,33.091,48.8579,18.0512,normalinput
18,NC_060190.1,7183259,26.3912,39.2887,34.32,normalinput
19,NC_060191.1,8922641,20.6049,51.4091,27.9859,normalinput
20,NC_060192.1,4538001,10.2707,54.2834,35.4459,normalinput
21,NC_060193.1,6489797,36.2891,42.7233,20.9876,normalinput
22,NC_060194.1,4555398,7.22694,59.9963,32.7768,normalinput
23,NC_060195.1,8757652,21.8691,50.654,27.4769,normalinput
24,NC_060196.1,6986160,22.032,47.4664,30.5015,normalinput
25,NC_060197.1,5522234,15.2739,51.8822,32.8439,normalinput
26,NC_060198.1,3449598,30.6568,46.3685,22.9747,normalinput
27,NC_060199.1,216906,47.5335,43.7148,8.75172,normalinput
