chromosome	window_start	window_end	mean_depth
NC_060173.1	15500001	15600000	13.6463
NC_060173.1	15600001	15700000	13.5405
NC_060173.1	15700001	15800000	15.5699
NC_060173.1	15800001	15900000	14.2194
NC_060173.1	15900001	16000000	13.8164
NC_060173.1	16000001	16100000	12.6054
NC_060173.1	16100001	16200000	13.8314
NC_060173.1	16200001	16300000	14.7464
NC_060173.1	16300001	16400000	16.0433
NC_060173.1	16400001	16500000	17.0535
NC_060173.1	16500001	16600000	15.5692
NC_060173.1	16600001	16700000	15.5541
NC_060173.1	16700001	16800000	15.8005
NC_060173.1	16800001	16900000	15.616
NC_060173.1	16900001	17000000	12.8035
NC_060173.1	17000001	17100000	16.0333
NC_060173.1	17100001	17200000	14.6019
NC_060173.1	17200001	17300000	15.2217
NC_060173.1	17300001	17400000	16.1527
NC_060173.1	17400001	17500000	13.6245
NC_060173.1	17500001	17600000	16.1112
NC_060173.1	17600001	17700000	14.5127
NC_060173.1	17700001	17800000	13.5436
NC_060173.1	17800001	17900000	15.5317
NC_060173.1	17900001	18000000	15.0199
NC_060173.1	18000001	18100000	13.8171
NC_060173.1	18100001	18200000	13.3815
NC_060173.1	18200001	18300000	10.5784
NC_060173.1	18300001	18400000	12.8248
NC_060173.1	18400001	18500000	14.8788
NC_060173.1	18500001	18600000	13.7014
NC_060173.1	18600001	18700000	14.9576
NC_060173.1	18700001	18800000	13.0039
NC_060173.1	18800001	18900000	15.6812
NC_060173.1	18900001	19000000	15.6278
NC_060173.1	19000001	19100000	15.7804
NC_060173.1	19100001	19200000	11.7289
NC_060173.1	19200001	19300000	16.0012
NC_060173.1	19300001	19400000	16.2257
NC_060173.1	19400001	19500000	18.0876
NC_060173.1	19500001	19600000	18.2455
NC_060173.1	19600001	19700000	16.1202
NC_060173.1	19700001	19800000	14.1608
NC_060173.1	19800001	19900000	14.4822
NC_060173.1	19900001	20000000	11.3474
NC_060173.1	20000001	20100000	14.1866
NC_060173.1	20100001	20200000	15.2787
NC_060173.1	20200001	20300000	11.9194
NC_060173.1	20300001	20400000	14.054
NC_060173.1	20400001	20500000	14.8433
NC_060173.1	20500001	20600000	16.3576
NC_060173.1	20600001	20700000	15.9859
NC_060173.1	20700001	20800000	15.2267
NC_060173.1	20800001	20900000	15.9795
NC_060173.1	20900001	21000000	14.3999
NC_060173.1	21000001	21100000	12.6757
NC_060173.1	21100001	21200000	14.0724
NC_060173.1	21200001	21300000	15.8759
NC_060173.1	21300001	21400000	14.461
NC_060173.1	21400001	21500000	14.4583
NC_060173.1	21500001	21600000	16.0017
NC_060173.1	21600001	21700000	15.6878
NC_060173.1	21700001	21800000	14.9394
NC_060173.1	21800001	21900000	14.9429
NC_060173.1	21900001	22000000	13.9355
NC_060173.1	22000001	22100000	15.3118
NC_060173.1	22100001	22200000	15.5262
NC_060173.1	22200001	22300000	13.4911
NC_060173.1	22300001	22400000	14.362
NC_060173.1	22400001	22500000	14.4453
NC_060173.1	22500001	22600000	19.5181
NC_060173.1	22600001	22700000	16.5061
NC_060173.1	22700001	22800000	14.6738
NC_060173.1	22800001	22900000	14.7008
NC_060173.1	22900001	23000000	16.1175
NC_060173.1	23000001	23100000	12.1715
NC_060173.1	23100001	23200000	13.6257
NC_060173.1	23200001	23300000	14.5818
NC_060173.1	23300001	23400000	15.7726
NC_060173.1	23400001	23500000	14.3095
NC_060173.1	23500001	23600000	15.8866
NC_060173.1	23600001	23700000	15.2861
NC_060173.1	23700001	23800000	15.2042
NC_060173.1	23800001	23900000	15.3779
NC_060173.1	23900001	24000000	15.0084
NC_060173.1	24000001	24100000	15.4346
NC_060173.1	24100001	24200000	16.5291
NC_060173.1	24200001	24300000	16.2252
NC_060173.1	24300001	24400000	15.771
NC_060173.1	24400001	24500000	16.1205
NC_060173.1	24500001	24600000	11.7536
NC_060173.1	24600001	24700000	16.2709
NC_060173.1	24700001	24800000	15.1341
NC_060173.1	24800001	24900000	13.5956
NC_060173.1	24900001	25000000	14.223
NC_060173.1	25000001	25100000	14.7322
NC_060173.1	25100001	25200000	15.0004
NC_060173.1	25200001	25300000	15.8834
NC_060173.1	25300001	25400000	16.0327
NC_060173.1	25400001	25500000	15.4401
NC_060173.1	25500001	25600000	15.6812
NC_060173.1	25600001	25700000	15.4152
NC_060173.1	25700001	25800000	15.3277
NC_060173.1	25800001	25900000	16.2466
NC_060173.1	25900001	26000000	15.4965
NC_060173.1	26000001	26100000	15.5029
NC_060173.1	26100001	26200000	15.2365
NC_060173.1	26200001	26300000	14.4436
NC_060173.1	26300001	26400000	15.0399
NC_060173.1	26400001	26500000	16.326
NC_060173.1	26500001	26600000	13.8197
NC_060173.1	26600001	26700000	15.8729
NC_060173.1	26700001	26800000	14.4995
NC_060173.1	26800001	26900000	15.967
NC_060173.1	26900001	27000000	16.0597
NC_060173.1	27000001	27100000	17.2293
NC_060173.1	27100001	27200000	13.4094
NC_060173.1	27200001	27300000	16.6327
NC_060173.1	27300001	27400000	14.7434
NC_060173.1	27400001	27500000	15.3679
NC_060173.1	27500001	27600000	14.619
NC_060173.1	27600001	27700000	14.7314
NC_060173.1	27700001	27800000	16.8035
NC_060173.1	27800001	27900000	14.8084
NC_060173.1	27900001	28000000	15.9777
NC_060173.1	28000001	28100000	13.7828
NC_060173.1	28100001	28200000	14.9009
NC_060173.1	28200001	28300000	16.7897
NC_060173.1	28300001	28400000	14.2687
NC_060173.1	28400001	28500000	13.4605
NC_060173.1	28500001	28600000	4.59733
NC_060173.1	28600001	28700000	8.70453
NC_060173.1	28700001	28800000	9.45687
NC_060173.1	28800001	28900000	6.04444
NC_060173.1	28900001	29000000	12.3717
NC_060173.1	29000001	29100000	14.6056
NC_060173.1	29100001	29200000	15.1086
NC_060173.1	29200001	29300000	15.3671
NC_060173.1	29300001	29400000	14.1638
NC_060173.1	29400001	29500000	15.0266
NC_060173.1	29500001	29600000	14.1338
NC_060173.1	29600001	29700000	12.8904
NC_060173.1	29700001	29800000	15.4669
NC_060173.1	29800001	29900000	16.7092
NC_060173.1	29900001	30000000	18.9257
NC_060173.1	30000001	30100000	10.2757
NC_060173.1	30100001	30200000	10.5127
NC_060173.1	30200001	30300000	14.1997
NC_060173.1	30300001	30400000	14.1389
NC_060173.1	30400001	30500000	11.9551
NC_060173.1	30500001	30600000	15.336
NC_060173.1	30600001	30700000	15.9161
NC_060173.1	30700001	30800000	15.2115
NC_060173.1	30800001	30900000	14.9792
NC_060173.1	30900001	31000000	15.3162
NC_060173.1	31000001	31100000	15.3847
NC_060173.1	31100001	31200000	14.7454
NC_060173.1	31200001	31300000	16.3345
NC_060173.1	31300001	31400000	14.9303
NC_060173.1	31400001	31500000	15.8461
NC_060173.1	31500001	31600000	14.404
NC_060173.1	31600001	31700000	13.5365
NC_060173.1	31700001	31800000	11.7373
NC_060173.1	31800001	31900000	12.3808
NC_060173.1	31900001	32000000	14.5241
NC_060173.1	32000001	32100000	14.1694
NC_060173.1	32100001	32200000	14.2434
NC_060173.1	32200001	32300000	13.3994
NC_060173.1	32300001	32400000	13.0944
NC_060173.1	32400001	32500000	12.9261
NC_060173.1	32500001	32600000	14.7594
NC_060173.1	32600001	32700000	13.4135
NC_060173.1	32700001	32800000	14.667
NC_060173.1	32800001	32900000	12.3822
NC_060173.1	32900001	33000000	11.7734
NC_060173.1	33000001	33100000	14.9858
NC_060173.1	33100001	33200000	12.6067
NC_060173.1	33200001	33300000	13.6987
NC_060173.1	33300001	33400000	12.966
NC_060173.1	33400001	33500000	13.1936
NC_060173.1	33500001	33600000	14.1296
NC_060173.1	33600001	33700000	15.3896
NC_060173.1	33700001	33800000	14.7217
NC_060173.1	33800001	33900000	15.5506
NC_060173.1	33900001	34000000	16.2766
NC_060173.1	34000001	34100000	15.5119
NC_060173.1	34100001	34200000	15.2502
NC_060173.1	34200001	34300000	15.8477
NC_060173.1	34300001	34400000	18.6626
NC_060173.1	34400001	34500000	15.2842
NC_060173.1	34500001	34600000	15.4804
NC_060173.1	34600001	34700000	16.2848
NC_060173.1	34700001	34800000	7.79447
NC_060173.1	34800001	34900000	7.08372
NC_060173.1	34900001	35000000	16.1166
NC_060173.1	35000001	35100000	15.314
NC_060173.1	35100001	35200000	16.3888
NC_060173.1	35200001	35300000	16.6153
NC_060173.1	35300001	35400000	15.6293
NC_060173.1	35400001	35500000	15.4964
NC_060173.1	35500001	35600000	15.9494
NC_060173.1	35600001	35700000	16.0341
NC_060173.1	35700001	35800000	16.1227
NC_060173.1	35800001	35900000	18.2593
NC_060173.1	35900001	36000000	15.5624
NC_060173.1	36000001	36100000	12.0633
NC_060173.1	36100001	36200000	17.5814
NC_060173.1	36200001	36300000	15.8372
NC_060173.1	36300001	36400000	16.8234
NC_060173.1	36400001	36500000	15.5396
NC_060173.1	36500001	36600000	16.5298
NC_060173.1	36600001	36700000	15.8668
NC_060173.1	36700001	36800000	16.8113
NC_060173.1	36800001	36900000	15.7455
NC_060173.1	36900001	37000000	15.863
NC_060173.1	37000001	37100000	16.0149
NC_060173.1	37100001	37200000	14.6631
NC_060173.1	37200001	37300000	15.9316
NC_060173.1	37300001	37400000	17.8255
NC_060173.1	37400001	37500000	16.0006
NC_060173.1	37500001	37600000	16.8401
NC_060173.1	37600001	37700000	19.9712
NC_060173.1	37700001	37800000	17.0677
NC_060173.1	37800001	37900000	15.6481
NC_060173.1	37900001	38000000	15.3605
NC_060173.1	38000001	38100000	16.5241
NC_060173.1	38100001	38200000	14.77
NC_060173.1	38200001	38300000	12.479
NC_060173.1	38300001	38400000	13.131
NC_060173.1	38400001	38500000	12.7949
NC_060173.1	38500001	38600000	14.5125
NC_060173.1	38600001	38700000	13.9068
NC_060173.1	38700001	38800000	14.6845
NC_060173.1	38800001	38900000	16.2474
NC_060173.1	38900001	39000000	15.7016
NC_060173.1	39000001	39100000	15.7436
NC_060173.1	39100001	39200000	16.7473
NC_060173.1	39200001	39300000	15.4473
NC_060173.1	39300001	39400000	15.7339
NC_060173.1	39400001	39500000	16.0246
NC_060173.1	39500001	39600000	11.262
NC_060173.1	39600001	39700000	15.283
NC_060173.1	39700001	39800000	10.6433
NC_060173.1	39800001	39900000	13.4285
NC_060173.1	39900001	40000000	15.5302
NC_060173.1	40000001	40100000	12.6979
NC_060173.1	40100001	40200000	13.7834
NC_060173.1	40200001	40300000	16.2262
NC_060173.1	40300001	40400000	8.37513
NC_060173.1	40400001	40500000	15.9735
NC_060173.1	40500001	40600000	14.2417
NC_060173.1	40600001	40700000	13.84
NC_060173.1	40700001	40800000	14.9869
NC_060173.1	40800001	40900000	12.944
NC_060173.1	40900001	41000000	17.3539
NC_060173.1	41000001	41100000	17.364
NC_060173.1	41100001	41200000	16.7554
NC_060173.1	41200001	41300000	15.0684
NC_060173.1	41300001	41400000	16.0621
NC_060173.1	41400001	41500000	15.0528
NC_060173.1	41500001	41600000	16.0812
NC_060173.1	41600001	41700000	16.3087
NC_060173.1	41700001	41800000	16.8265
NC_060173.1	41800001	41900000	17.6192
NC_060173.1	41900001	42000000	15.4486
NC_060173.1	42000001	42100000	18.7705
NC_060173.1	42100001	42200000	15.8152
NC_060173.1	42200001	42300000	13.378
NC_060173.1	42300001	42400000	15.0341
NC_060173.1	42400001	42500000	14.9001
NC_060173.1	42500001	42600000	15.3813
NC_060173.1	42600001	42700000	15.7627
NC_060173.1	42700001	42800000	15.8187
NC_060173.1	42800001	42900000	14.5335
NC_060173.1	42900001	43000000	14.4277
NC_060173.1	43000001	43100000	15.8273
NC_060173.1	43100001	43200000	16.5287
NC_060173.1	43200001	43300000	13.4401
NC_060173.1	43300001	43400000	15.5778
NC_060173.1	43400001	43500000	17.4189
NC_060173.1	43500001	43600000	17.5583
NC_060173.1	43600001	43700000	16.6343
NC_060173.1	43700001	43800000	15.5904
NC_060173.1	43800001	43900000	15.7027
NC_060173.1	43900001	44000000	19.3582
NC_060173.1	44000001	44100000	16.1079
NC_060173.1	44100001	44200000	16.0355
NC_060173.1	44200001	44300000	14.5251
NC_060173.1	44300001	44400000	13.4073
NC_060173.1	44400001	44500000	14.5909
NC_060173.1	44500001	44600000	14.9426
NC_060173.1	44600001	44700000	15.14
NC_060173.1	44700001	44800000	14.2815
NC_060173.1	44800001	44900000	15.1853
NC_060173.1	44900001	45000000	12.3383
NC_060173.1	45000001	45100000	15.8666
NC_060173.1	45100001	45200000	16.411
NC_060173.1	45200001	45300000	19.5917
NC_060173.1	45300001	45400000	18.9305
NC_060173.1	45400001	45500000	16.4689
NC_060173.1	45500001	45600000	12.8724
NC_060173.1	45600001	45700000	14.3817
NC_060173.1	45700001	45800000	14.61
NC_060173.1	45800001	45900000	14.4211
NC_060173.1	45900001	46000000	13.7894
NC_060173.1	46000001	46100000	15.0638
NC_060173.1	46100001	46200000	16.5131
NC_060173.1	46200001	46300000	15.0607
NC_060173.1	46300001	46400000	15.6925
NC_060173.1	46400001	46500000	15.0119
NC_060173.1	46500001	46600000	14.6523
NC_060173.1	46600001	46700000	15.3739
NC_060173.1	46700001	46800000	14.8303
NC_060173.1	46800001	46900000	29.8835
NC_060173.1	46900001	47000000	40.1423
NC_060173.1	47000001	47100000	15.1775
NC_060173.1	47100001	47200000	15.8406
NC_060173.1	47200001	47300000	15.0963
NC_060173.1	47300001	47400000	17.7501
NC_060173.1	47400001	47500000	16.7962
NC_060173.1	47500001	47600000	18.3182
NC_060173.1	47600001	47700000	15.8442
NC_060173.1	47700001	47800000	15.7075
NC_060173.1	47800001	47900000	15.4615
NC_060173.1	47900001	48000000	15.3205
NC_060173.1	48000001	48100000	14.7963
NC_060173.1	48100001	48200000	14.3785
NC_060173.1	48200001	48300000	12.7672
NC_060173.1	48300001	48400000	15.4076
NC_060173.1	48400001	48500000	15.4472
NC_060173.1	48500001	48600000	16.4083
NC_060173.1	48600001	48700000	19.8056
NC_060173.1	48700001	48800000	14.9841
NC_060173.1	48800001	48900000	15.9571
NC_060173.1	48900001	49000000	15.1763
NC_060173.1	49000001	49100000	15.209
NC_060173.1	49100001	49200000	15.3618
NC_060173.1	49200001	49300000	15.1042
NC_060173.1	49300001	49400000	14.8973
NC_060173.1	49400001	49500000	17.4773
NC_060173.1	49500001	49600000	15.827
NC_060173.1	49600001	49700000	15.0811
NC_060173.1	49700001	49800000	15.3525
NC_060173.1	49800001	49900000	18.0975
NC_060173.1	49900001	50000000	19.5485
NC_060173.1	50000001	50100000	15.99
NC_060173.1	50100001	50200000	16.1001
NC_060173.1	50200001	50300000	14.0312
NC_060173.1	50300001	50400000	16.123
NC_060173.1	50400001	50500000	13.183
NC_060173.1	50500001	50600000	10.1832
NC_060173.1	50600001	50700000	13.8509
NC_060173.1	50700001	50800000	14.4952
NC_060173.1	50800001	50900000	17.4306
NC_060173.1	50900001	51000000	14.4986
NC_060173.1	51000001	51100000	16.658
NC_060173.1	51100001	51200000	15.4822
NC_060173.1	51200001	51300000	14.2574
NC_060173.1	51300001	51400000	15.8498
NC_060173.1	51400001	51500000	11.8577
NC_060173.1	51500001	51600000	15.9176
NC_060173.1	51600001	51700000	13.5599
NC_060173.1	51700001	51800000	14.5953
NC_060173.1	51800001	51900000	15.4581
NC_060173.1	51900001	52000000	15.2178
NC_060173.1	52000001	52100000	15.2384
NC_060173.1	52100001	52200000	14.5077
NC_060173.1	52200001	52300000	15.1028
NC_060173.1	52300001	52400000	15.0385
NC_060173.1	52400001	52500000	14.3361
NC_060173.1	52500001	52600000	15.3946
NC_060173.1	52600001	52700000	14.8141
NC_060173.1	52700001	52800000	13.9066
NC_060173.1	52800001	52900000	14.9022
NC_060173.1	52900001	53000000	14.2727
NC_060173.1	53000001	53100000	13.5915
NC_060173.1	53100001	53200000	15.1168
NC_060173.1	53200001	53300000	14.8916
NC_060173.1	53300001	53400000	17.5068
NC_060173.1	53400001	53500000	16.2918
NC_060173.1	53500001	53600000	15.1125
NC_060173.1	53600001	53700000	15.5487
NC_060173.1	53700001	53800000	15.4839
NC_060173.1	53800001	53900000	14.1317
NC_060173.1	53900001	54000000	15.2512
NC_060173.1	54000001	54100000	17.2509
NC_060173.1	54100001	54200000	15.9401
NC_060173.1	54200001	54300000	19.0077
NC_060173.1	54300001	54400000	16.2248
NC_060173.1	54400001	54500000	17.6863
NC_060173.1	54500001	54600000	15.5895
NC_060173.1	54600001	54700000	15.5668
NC_060173.1	54700001	54800000	15.8351
NC_060173.1	54800001	54900000	16.1858
NC_060173.1	54900001	55000000	17.9963
NC_060173.1	55000001	55100000	18.4906
NC_060173.1	55100001	55200000	15.5225
NC_060173.1	55200001	55300000	15.5527
NC_060173.1	55300001	55400000	15.6009
NC_060173.1	55400001	55500000	16.4821
NC_060173.1	55500001	55600000	15.6755
NC_060173.1	55600001	55700000	16.2995
NC_060173.1	55700001	55800000	16.4505
NC_060173.1	55800001	55900000	15.5734
NC_060173.1	55900001	56000000	15.2699
NC_060173.1	56000001	56100000	16.0035
NC_060173.1	56100001	56200000	14.8343
NC_060173.1	56200001	56300000	15.3715
NC_060173.1	56300001	56400000	15.9801
NC_060173.1	56400001	56500000	15.5939
NC_060173.1	56500001	56600000	15.348
NC_060173.1	56600001	56700000	16.5617
NC_060173.1	56700001	56800000	18.6871
NC_060173.1	56800001	56900000	17.7341
NC_060173.1	56900001	57000000	17.1641
NC_060173.1	57000001	57100000	15.0924
NC_060173.1	57100001	57200000	16.0306
NC_060173.1	57200001	57300000	15.6564
NC_060173.1	57300001	57400000	16.0079
NC_060173.1	57400001	57500000	17.0901
NC_060173.1	57500001	57600000	14.3418
NC_060173.1	57600001	57700000	13.7497
NC_060173.1	57700001	57800000	19.9502
NC_060173.1	57800001	57900000	14.7001
NC_060173.1	57900001	58000000	16.1979
NC_060173.1	58000001	58100000	15.2521
NC_060173.1	58100001	58200000	18.1456
NC_060173.1	58200001	58300000	16.7387
NC_060173.1	58300001	58400000	15.1708
NC_060173.1	58400001	58500000	15.2241
NC_060173.1	58500001	58600000	15.7833
NC_060173.1	58600001	58700000	15.361
NC_060173.1	58700001	58800000	15.3312
NC_060173.1	58800001	58900000	15.2097
NC_060173.1	58900001	59000000	15.978
NC_060173.1	59000001	59100000	13.9502
NC_060173.1	59100001	59200000	14.9147
NC_060173.1	59200001	59300000	15.7151
NC_060173.1	59300001	59400000	15.5768
NC_060173.1	59400001	59500000	17.4618
NC_060173.1	59500001	59600000	16.42
NC_060173.1	59600001	59700000	17.0457
NC_060173.1	59700001	59800000	15.9474
NC_060173.1	59800001	59900000	14.8699
NC_060173.1	59900001	60000000	15.4848
NC_060173.1	60000001	60100000	16.3551
NC_060173.1	60100001	60200000	16.2048
NC_060173.1	60200001	60300000	15.1951
NC_060173.1	60300001	60400000	13.9932
NC_060173.1	60400001	60500000	15.257
NC_060173.1	60500001	60600000	15.5166
NC_060173.1	60600001	60700000	13.6343
NC_060173.1	60700001	60800000	13.0412
NC_060173.1	60800001	60900000	17.5473
NC_060173.1	60900001	61000000	15.2072
NC_060173.1	61000001	61100000	18.9676
NC_060173.1	61100001	61200000	16.2794
NC_060173.1	61200001	61300000	15.193
NC_060173.1	61300001	61400000	17.2896
NC_060173.1	61400001	61500000	15.6501
NC_060173.1	61500001	61600000	16.2484
NC_060173.1	61600001	61700000	15.0059
NC_060173.1	61700001	61800000	16.2559
NC_060173.1	61800001	61900000	12.666
NC_060173.1	61900001	62000000	15.1922
NC_060173.1	62000001	62100000	15.0137
NC_060173.1	62100001	62200000	14.2181
NC_060173.1	62200001	62300000	17.4137
NC_060173.1	62300001	62400000	14.9364
NC_060173.1	62400001	62500000	16.4723
NC_060173.1	62500001	62600000	17.1892
NC_060173.1	62600001	62700000	16.7284
NC_060173.1	62700001	62800000	15.2914
NC_060173.1	62800001	62900000	14.4502
NC_060173.1	62900001	63000000	14.8737
NC_060173.1	63000001	63100000	16.2574
NC_060173.1	63100001	63200000	15.5125
NC_060173.1	63200001	63300000	15.7638
NC_060173.1	63300001	63400000	17.3956
NC_060173.1	63400001	63500000	16.7688
NC_060173.1	63500001	63600000	16.819
NC_060173.1	63600001	63700000	15.7939
NC_060173.1	63700001	63800000	19.4926
NC_060173.1	63800001	63900000	15.5142
NC_060173.1	63900001	64000000	16.8561
NC_060173.1	64000001	64100000	15.3672
NC_060173.1	64100001	64200000	17.9055
NC_060173.1	64200001	64300000	16.9218
NC_060173.1	64300001	64400000	15.4019
NC_060173.1	64400001	64500000	16.1517
NC_060173.1	64500001	64600000	15.5037
NC_060173.1	64600001	64700000	15.8705
NC_060173.1	64700001	64800000	17.4583
NC_060173.1	64800001	64900000	17.2286
NC_060173.1	64900001	65000000	17.8562
NC_060173.1	65000001	65100000	15.0065
NC_060173.1	65100001	65200000	16.0799
NC_060173.1	65200001	65300000	15.2478
NC_060173.1	65300001	65400000	14.9477
NC_060173.1	65400001	65500000	16.1279
NC_060173.1	65500001	65600000	20.0081
NC_060173.1	65600001	65700000	18.9628
NC_060173.1	65700001	65800000	15.9008
NC_060173.1	65800001	65900000	15.8431
NC_060173.1	65900001	66000000	15.6007
NC_060173.1	66000001	66100000	15.633
NC_060173.1	66100001	66200000	19.4161
NC_060173.1	66200001	66300000	19.8333
NC_060173.1	66300001	66400000	18.5952
NC_060173.1	66400001	66500000	15.1224
NC_060173.1	66500001	66600000	15.2803
NC_060173.1	66600001	66700000	15.4083
